tweet_id,agreement,num_labels,label,tweet_id.1,user_name,user_id,in_reply_to,retweet,friends,followers,status,verified,tweet,protected
253588891884474369,0.6666666666666666,3,1,5.6e+17,mrmclively,892037664.0,None,0,6778,2586,6018,0,NPR: To Protect His Son  A Father Asks School To Bar Unvaccinated Children. http://t.co/XET2ALqDp4 #immunizeyourchild!      ,0
684189771757924352,0.6666666666666666,3,1,3.35e+17,Chikies_xD,1022930042.0,None,0,29,66,669,0,@rickyreddd be an asl translator with mmr or or a psychologist witg me or ir both of them put togethr!!!!       ,0
561566395675443201,0.6666666666666666,3,1,1.91e+17,lizzmitchell,35259221.0,realDonaldTrump,0,238,588,2838,0,@realDonaldTrump: Many many people are thanking me for what I said about @autism & #vaccinations. Something must be done immediately. #novax       ,0
557682656524394497,1.0,3,1,4.62e+17,MardisMichele,2291678489.0,julie_luck,0,19,28,927,0,@julie_luck @WFMY what is wrong with these people??!!! How can you NOT immunize your children!#Polio!       ,0
564157624208588800,1.0,3,1,5.71e+17,Chicago_CP,55540658.0,None,0,4695,33,451044,0,Cases of measles rises to 15 in Cook County: An adult living in north suburban Cook County has tested positive for… http://t.co/nmw1nAaDpv       ,0
567717957233438720,1.0,3,1,1.16e+17,CandidDotOrg,29562655.0,None,0,145606,1616,63651,1,RT @unfoundation: On @serenawilliams 1sttrip to #Africa w/ @Unicef she helped give #polio vaccines + meds - giving those kids a #shotatlife!       ,0
562766781081976835,1.0,3,1,4.08e+17,CourtCorley,233788243.0,None,0,399,289,5019,0,"Important for hesitant parents ""@nnpedsdoc: JAMA Pediatrics | Delaying Vaccination Is Not a Safer Choice http://t.co/XJlQ4ehjCJ""       ",0
248348704841547778,0.6666666666666666,3,1,5.63e+17,TER4M,214019964.0,megynkelly,0,3105,646,17253,0,@megynkelly with all due respect  you my lady are an idiot! Thousands of kids some I personally know retract Autism from this vaccination      ,0
562366283786620929,1.0,3,1,5.64e+17,ferlettuce,2746673056.0,ferlettuce,0,492,4601,14843,0,@MattWelch @theLGmarianne @sbichao mind you  the 4 vaccinated kids catching measles was the highest outbreak in years (decades?)      ,0
128518853692112896,0.6666666666666666,3,1,5.61e+17,morrislaw,49074629.0,None,0,2386,5001,133681,0,I was vaccinated twice for measles - as a toddler and then again in law school during a localized outbreak       ,0
564982467229003776,1.0,3,1,5.78e+17,Boston_CP,70291924.0,None,0,2843,26,474001,0,Worried about measles at Disney? Blame low vaccination rates: A Boston Children's Hospital researcher has… http://t.co/r7rys8vFPe       ,0
571767086827094016,0.6666666666666666,3,1,5.61e+17,Nette0286,2908291205.0,bobbybonesshow,0,13,52,333,0,@bobbybonesshow transmission of measles is airborne via droplets of saliva from cough or sneeze and is highly virulent. #vaccineswork       ,0
448450538561355776,0.6666666666666666,3,1,1.89e+17,ImBoom_DANAmite,326587181.0,RaspyRawls,0,610,453,27495,0,@RaspyRawls Children crying. Vaccine. Needle.       ,0
562656218033168384,1.0,3,1,5.71e+17,NicholasJMaggio,1362659442.0,_aleeysaa,0,123,293,6804,0,@_aleeysaa Enjoy yourself and try not to catch the measles       ,0
563054263656804354,0.6666666666666666,3,1,5.62e+17,MrsBlueSky63,2569993501.0,captainappcrash,0,2842,3233,72945,0,@indigo_truther @ManOnHisPath The MMR was only needed once. Now twice? Money! My Daughter got Meningitis vaccine. Next day  couldn't walk!$$      ,0
566381620458823680,1.0,3,1,1.2e+17,mollyann_hesser,18067388.0,marynmck,0,1284,3029,13832,0,"@marynmck or they could meet my niece whose baby died of a ""reaction"" to her mmr.       ",0
588887563441606656,0.6666666666666666,3,1,5.21e+17,SenoritaRuth,14355507.0,None,0,1204,1984,11193,0,Vaccinating my child because I believe in science. (@ University of New Mexico Hospital - @unm in Albuquerque  NM) https://t.co/RtAAebmEDs      ,0
563494242794749952,1.0,3,1,2.02e+17,JamesSeymour86,49486082.0,None,0,57,80,1560,0,Isabella's first immunizations! My poor baby :( (@ Professional Park Pediatrics) http://t.co/u1Yq9W3p   NJ @… http://t.co/rUNVD16bMX     ,0
720229110128254976,0.6666666666666666,3,1,5.3e+17,FortWorthCP,64217534.0,None,0,1931,5,156283,0,Flu Spray Vaccine May Not Work For Kids: The nasal spray version of the flu vaccine may not protect young children… http://t.co/BatOKUgAno   but everyone else's.     ,0
572734317337559042,0.6666666666666666,3,1,3.65e+17,Ashleydelvs,451164244.0,pbhpana,0,383,0,27179,0,@Pauline_Bianca Para dun sa lintik na school. Kailangan ng mga immunizations. Nakaka-8 na ko. Jusko!       ,0
571180300937486336,0.6666666666666666,3,1,5.64e+17,MilwaukeeCP,70949821.0,None,0,2169,8,309364,0,“It is a risk for a lot of other people:” Shorewood School Dist. concerned about measles outbreak: The bug is… http://t.co/OOEufLxdwC       ,0
256844223687565315,1.0,3,1,7.46e+17,OUI_Juice,573051041.0,None,0,1194,1986,10474,0,Raspberries! A super juicy superfood proven to improve heart health  circulation      ,0
550499883611082753,0.6666666666666666,3,1,5.53e+17,AnnZuccardy,7208262.0,None,1,16873,8512,49362,0,Yay #NY for requiring children to be vaccinated before attending public school. Wishing #vt would follow suit.       ,0
