tweet,label
Coronavirus: Some Canadians hesitant to take a COVID-19 vaccine – Global News https://t.co/pOgrnxWbGL,AntiVax
"This is why thinking that a vaccine is a panacea is a dangerous idea.

You can outsmart evolution at your own peril. https://t.co/WJXen4MfTV https://t.co/3yx5Bf9hTh",AntiVax
"I stand with every true Englishman when I say ‘Keep your filthy Euro-immigrant vaccine out of my veins, Mr Barnier.’ https://t.co/vvrPufOaOs",AntiVax
"Effective at WHAT? Is it full of poison and heavy metals like ALL the other “vaccines” you make?
No thanks.
Pretty sure I can survive the common cold on my own, thanks tho ... https://t.co/VSxOuuJoVO",AntiVax
"Apparently Pfizer says they developed a coronavirus vaccine candidate with a success rate of over 90%. But if I do absolutely nothing I have less than a 0.03% chance of getting it. No thanks, I think I’ll take my chances without it or any other vaccine",AntiVax
"is this the vaccine approved by trump and pence?

i can't take my chances when i'm dead, so i'll stay alive.
thanx anyway, tho. https://t.co/QKcDw3FQv6",AntiVax
"They can have their vaccine, I want the right to say no- not in my body. We will only have that right under Donald J Trump https://t.co/MrfDSMm6JB",AntiVax
"@itvnews The #coronavirus ""vaccine"" has been approved by Nazi butcher Josef Mengele, and the UK's press are pushing it, as well as pushing the #CashlessSociety plan for #GreatReset. ITN are as guilty as Boris in this crime against humanity. https://t.co/5",AntiVax
Imagine if the new covid19 vaccine has a side effect of making people infertile? #DepopulationAgenda,AntiVax
"@macroaggressio3 You hear vaccine and warp speed negative combo, look at the MMR vaccine doing to our children. Covid-19 vaccine changes your DNA LAMININ cross Protein 🙏",AntiVax
Over my dead fucking body will I take a vaccine or anything else from this administration. HELL NO https://t.co/YVoLEuonDf,AntiVax
"They say the vaccine will be tested on animals, then I won’t take it.   Never, leave animals alone. Test it on humans they are the ones who have the COVID-19 https://t.co/7m4hL4JSm3",AntiVax
"If it's true that Pfizer have developed a vaccine for COVID, then I hope that I am the Pfirst to Pfuckin get it!
#Pfizervaccine #COVID19 #vaccine #funny #comical #justsaying #gusman",AntiVax
"Sounds about right.

Don't take any vaccines! https://t.co/3GLDa4EoUr",AntiVax
Bother is Profs.of different sections who tell public all about Stats re coronavirus how its dealt with.Their boring of little interest.I am not criticising just to do it. It is facts people will understand.Rushed vaccines aren’t answer. Scientists know it but will they admit it. https://t.co/c4kq10ZENn,AntiVax
"Why would any Nation force an untested, no liability vaccine on its people for a virus with a 99.74% recovery rate?

It simply doesn't make sense for public health

It only makes sense if the motive is profit https://t.co/H9BYXQoghJ",AntiVax
i ain’t takin no vaccine man https://t.co/6U4hTISMzQ,AntiVax
"The coronavirus is 90% effective but they don’t have a clue about long term effects of the vaccine. Yeah , no thanks. 👎🏼👋🏼",AntiVax
@sensibilisfella Covid19 has a 99.9% survival rate which makes a vaccine pointless. Figuring out that covid19 is an artificial crisis that has been exploited by globalists is the only cure.,AntiVax
I’m not an anti-vax but I’m nervous to get EllaMae her regular vaccination with this Covid-19 vax coming out since they’ve slipped shit in without telling me before,AntiVax
Fuck you and the COVID-19 vaccine I don’t trust nothing,AntiVax
Nah fr fuck that shit I don’t want no flu shot coronavirus vaccine none of that ‼️‼️ https://t.co/WhfJAig7N1,AntiVax
@LeahButlerSmith We dont need a vaccine we have regeneron as a treatment https://t.co/5hK6ERl6nM,AntiVax
".@Bishopoftyler: ""Moderna vaccine is not morally produced"" #COVID19 #coronavirus #bioethics #Vatican #CatholicChurch https://t.co/92fTn2qSkS",AntiVax
Had a chat to a bloke from Orange (now in New York) who was the ‘first’ to question the Oxford-AstraZeneca vaccine. The world followed. https://t.co/CUouDEF5Qq,AntiVax
They'll not get the same vaccine as everyone else. https://t.co/euodxe9lrP,AntiVax
"Vaccines can cause your body to attack itself. For example, reproductive organs.

_Right there_ you've added 9 months to the testing required to know if a vaccine is safe to widely deploy.

COVID-19 is not an existential risk to society; a rushed vaccine could be. Don't rush it. https://t.co/14YVeP3GFd",AntiVax
"I hate to nitpick, but 100% would suit me better, tbh. #COVID19 #vaccine 

https://t.co/F54kGLAvvm",AntiVax
I think i will wait until it is 100% effective and 100% safe. Thanks 👍🏻 #COVID19 #vaccine https://t.co/mEhhRMHYyA,AntiVax
"@BogochIsaac 50 years no coronavirus vaccine - I'll pass on the fixed fast-tracked one
https://t.co/Hfi2KOjwyn
""Moderna, Pfizer, and AstraZeneca-do not require that their vaccine prevent serious disease only that they prevent moderate symptoms which may b",AntiVax
"I'm not a big conspiracy person and honestly everyone who denies the coronavirus' existence can go fuck themselves. But it do be a bit sus when a day after Biden is elected president, two separate companies announce a CoVid vaccine that is over 90% effective :/",AntiVax
"If a Covid-19 vaccine is more than 90% effective it’s up there with other potent vaccinations. 

Across all age groups including kids, the flu vaccine prevented 15-52% of flu cases between 2015 &amp; 2020. Source below.

So I’ll take my chances with the 90%. 

https://t.co/TwTvaV5PZy",AntiVax
"No way im letting that mass murderer Bill Gates, inject me with a 'vaccine' that will actually kill millions and implant microchip tracking devices into us all....

I like to let my phone and social media track me instead https://t.co/5muTjokgo1",AntiVax
"Wow, the vaccine is less effective than the natural recovery rate of 97+%

If it's not 100% effective, why do we even need it, for a disease that has mild or no symptoms for most people?

#covidfascism #COVIDScam #covidhoax #covid19 #covid1984 #ChinaVirus #coronavirus https://t.co/PqMKOZf2Ey",AntiVax
Never related to a tweet so much in my life. Fuck the vaccine https://t.co/WgnLdPstkU,AntiVax
@TheRealDoctorM2 Ok but then why are you promoting this vaccine elsewhere in your tweets? A confident Phase IV is at minimum  10 years. RNA can enter into other metabolic pathways than the one involved in your ribosomes.  #vaccine #SARSCoV2 #COVID19,AntiVax
"I don’t care who is in office, I’m not taking a rushed vaccine. Period. https://t.co/GA3YQWJePP",AntiVax
"I refuse any, and all vaccines. I do not believe in them. God determines when I will leave this life not a vaccine that has untold side effects that can be far worse than Covid itself. I love and Praise my Savior. https://t.co/iewgzsLZQI",AntiVax
"So, everyone cheering for this Pfizer vaccine is frightening.  Not all drugs/vaccines are bad, but really...a covid19 vaccine developed in a few months?  Not a chance!",AntiVax
I’m not taking a fucking vaccine. https://t.co/pfvFoBI4xq,AntiVax
"@MrStache9 I'm not opposed to the vaccine for covid19, or any vaccine made by a free nation and properly tested then released. Every credible scientist will tell you a safe vaccine takes years to develop. I am very opposed to a rushed half baked corrupt l",AntiVax
"90% people get cure by own immunity, we need vaccine which will be 100% effective. https://t.co/RI4vKjYju7",AntiVax
"Sa totoo lang, the virus came from CHN, I wouldn't trust any vaccines they ""deliver"" or ""provide"" right away. It's kind of scary. https://t.co/V0eTyV8y5q",AntiVax
"After reading this, IMO, this vaccine has not been tested enough or long enough for me to want to take it. I'll pass.

Pfizer and BioNTech Announce Vaccine Candidate Against COVID-19 Achieved Success in First Interim Analysis from Phase 3 Study | Pfizer https://t.co/6WwdioNpQW",AntiVax
"1 billion+ people in China and NO vaccine needed~AMAZxiNG!
#vaccinenotneeded
Fu€king Joke!!! 
$$$$$$Drug companies!!!!
#WTFU https://t.co/2WeNuDqlWI",AntiVax
"ME: ""I refuse to take the Mark of the Beast COVID-19 vaccine.""

DEMOCRAT: ""But you won't have a choice in the matter.""

ME: ""Whaddaya mean I won't have a choice in the matter? MY body, MY choice.""",AntiVax
Fuck the coronavirus vaccine I won’t be having it 😂 it’s seems well dodgy,AntiVax
I ain't having no Covid-19 vaccine until I see the millions of others who need it more than I do come away with absolutely no serious side affects.,AntiVax
No Thanks!!!!                                       Bill Gates says Pfizer has best shot at early COVID-19 vaccine https://t.co/A608dE6QLE via @nypost,AntiVax
@robert_spalding Not complaining about the vaccine but Denmark is culling 17 million mink because the Wuhan Coronavirus has mutated and can jump from minks to human.  Is this vaccine going to work with a mutating virus? Doubtful. I will take 99.6% vs 90%.,AntiVax
@NigelKellow @hypnotik23 Why no vax ? ) Covid 19 is not a HCID. 2) The survival rate is 99.8% 3) The last coronavirus pandemic the virus evolved to be less harmful not more &amp; then vanished 5)T cell immunity lasts between 5-10 years so why bother? 6) I,AntiVax
"This isn’t about #COVID-19. COVID-19 was the push needed to get genetic-based vaccines among the population, to advance this unknown science of #nanoparticles in the human body. We are the guinea pigs essentially. https://t.co/XeykRk9yyc",AntiVax
Isnt it strange that the #COVID19 #vaccine must be kept at minus 60° at the point of delivery? Why must this particular vaccine be kept so cold? I'm sure this DNA changing juice is very special. https://t.co/HFH2bjS8gl,AntiVax
"And you want this dodgy 'vaccine' here in 🇬🇧?

No thanks. https://t.co/ppXngEXDp8",AntiVax
"I will not, I repeat I WILL NOT receive this vaccine until I see all government officials get one first https://t.co/sZsvhmSyk1",AntiVax
With all due respect Mr Prime minister me and my children are not Guinea pigs and we will not be having the vaccine. https://t.co/pQweieSzJ9,AntiVax
"LOL, the VA sent me an email with a link to volunteer for COVID-19 vaccine trials.

No thanks chief, I got pumped full of shit I still don't know the name of back in the 90s.

Try it out on a politician.",AntiVax
"This is why I have no faith that in Covid vaccines - Covid only harms those with compromised immune response, the very same people for whom vaccines don't seem to work (because their immune system isn't working properly). https://t.co/3d8GZX3WUP",AntiVax
"@kirstiealley This is the 7TH coronavirus to hit humans, we never developed a vaccine for the previous 6. Most vaccines take 7-20 years to develop. Big pharma is protected from an injury/death you might experience from the first ""Test"" vaccine. #covidhoax",AntiVax
"Say what you will about the trustworthiness of this vaccine - and honestly, I’d be very skeptical about taking something that’s been rushed through in a few months.

But if it means we get back to Ewood to watch HMS Piss the League set sail, I’ll jump on board...

#gettofuckcovid https://t.co/YL3aW4XwZq",AntiVax
I'm still not getting a Covid19 vaccine this early in development.,AntiVax
😂😂😂😂 shove ur vaccine up ur arse!! I trust my immune system!! https://t.co/d5r2qUHJW6,AntiVax
"Eh, no thanks to vaccine. https://t.co/5EMX9zaNzC",AntiVax
"Ok so a #covid19 vaccine is 90% ready, when it gets to 100% give it around 6-7 months for public distribution. I feel that the election result is starting to change things for the better. Please people do not take your eyes away from trump and... https://t.co/qdvtqbCW5l",AntiVax
"Pfizer’s COVID-19 vaccine is exciting; please friends understand that 90% effectiveness of a single disease vaccine is pretty bad. Polio has 99-100% and measles 98% according to CDC data. Analogously, 90% effectiveness is failing more times then you’ll roll nat 1 on a D20 roll.",AntiVax
fuck the 90% effective coronavirus vaccine i want tesla tequila https://t.co/5iYF7Cmbnz,AntiVax
"The immune system already works 100% against covid aka seasonal flu. 

Unless you're a lazy overweight slob.

The vaccine will give you an auto-immune disease if you take it. https://t.co/7dzflyKbek",AntiVax
"@GovMurphy The same Dr. Fauci that said that the majority of these positive COVID-19 cases are nothing more than false positives. The campaign to get people to take that poison vaccine will fail. Thank goodness in 2021, you're up for re-election. #voteMur",AntiVax
Don’t give a fuck won’t be taking any vaccine. https://t.co/kyW2Qy1pKJ,AntiVax
ill take my chance with miss coronavirus.....no dna altering vaccine going into me!,AntiVax
