tweet,label
"Moderna on track to report late-stage COVID-19 vaccine data next month: The vaccine is currently being tested in a large human trial, and Moderna was in talks with a WHO-led group for distribution. https://t.co/CJGuw7rDzj JPost https://t.co/QPAhjvDm76",Neutral
The Philippine government is in talks with Anglo-Swedish drugmaker AstraZeneca to procure doses of its prospective COVID-19 vaccine. | @DYGalvezINQ https://t.co/dVTpgOZT9h,Neutral
Care homes to be FIRST to receive coronavirus vaccine that could roll out before Christmas https://t.co/V71edGrw7F,Neutral
"Hospitals are reportedly being prepped for a possible coronavirus vaccine roll out within three weeks. 

@Drhilaryjones says it is optimistic to think many people will be vaccinated before Christmas - but it is good news. 

Watch GMB for the latest👉https://t.co/fzcHkA6S4k https://t.co/OEMR7IaZTW",Neutral
Zambia in talks with Russia on accessing Sputnik V coronavirus vaccine https://t.co/2DmTlKLSWX,Neutral
"Pfizer says its coronavirus vaccine is more than 90 percent effective compared to a placebo, and has no major side effects. Study involved 44,000 people.  https://t.co/UH4zVj2OT6",Neutral
Q&amp;A: Where are we in the COVID-19 vaccine race? https://t.co/s12BAAIuMB,Neutral
GBP/USD pushing against 1.3200 amid upbeat COVID-19 vaccine reports https://t.co/GKWcVY2BLA #GBPUSD #Currencies,Neutral
"These Dems balked at a coronavirus vaccine under Trump. Will they change their tune now? https://t.co/MWdCFqhwIQ #FoxNews 
I TRUST TRUMP, I DON'T TRUST THE DEMOCRATS.",Neutral
Trump says Pfizer withheld announcement on COVID-19 vaccine before election https://t.co/Bzh3sFFSMW https://t.co/kxa7LyeOjK,Neutral
"👇👇Not a good practice, not good for public trust in vaccines ...  However, ""scientific"" press releases seem to be good for the stock market 🤷🏻‍♀️ https://t.co/qZaNZNhWLs",Neutral
Coronavirus vaccine testing timeline: What’s next in Covid-19 fight https://t.co/7ZB20jeLBk,Neutral
"In the News 📰: @skepticalIDdoc is skeptical!
Dr. Gerald Evans comments on Pfizer's early results from it's coronavirus vaccine trial, suggesting a 90 per cent efficacy rate at preventing COVID-19. https://t.co/8B8WtqLIdW",Neutral
What a COVID-19 vaccine would mean for mortgage rates and the housing market https://t.co/O3IMUru8U6,Neutral
SCIENCE FRAUD: Covid-19 vaccines were manufactured and stockpiled by the military long before they were tested and “approved” | Truth11 https://t.co/dynrPQAlIo,Neutral
"Dolly Parton’s $1 million donation helped fund Moderna’s COVID-19 vaccine 
https://t.co/tszIxxevKc",Neutral
Investors are encouraged by the latest progress on developing coronavirus vaccines and news that the transition of power to President-elect Joe Biden will finally begin. https://t.co/hds8Vp4wc3,Neutral
U.S. officials plan to release 6.4 million COVID-19 vaccine doses in first distribution https://t.co/qdxfDKZOR4,Neutral
"I knew the opposition's shrieking over the vaccine was just another manufactured scandal, meant to  distract. https://t.co/Oybiis4qST",Neutral
Coronavirus live updates: The U.K. has approved the Pfizer/BioNTech COVID-19 vaccine for emergency use. https://t.co/0nulhZKrZs via @HuffPost,Neutral
"Presidents Obama, Bush &amp; Clinton are volunteering to get their Covid-19 vaccines on TV with a National Broadcast to promote public confidence in the vaccine's safety. Sort of like the Super Bowl of Vaccine Game. 
What Musical Group should perform at 1/2 Time. Who shud announce?",Neutral
Why's @twitter censorship of #tweets of #ToriesOut happening after once again @Conservatives was caught lying about #COVID19 vaccine where's the fact checker you used on @realDonaldTrump? In #Elections2020 #ToriesEnemyOfThePeople #ToryScum #NoMoreCoverUps,Neutral
Bahrain becomes second nation to approve Pfizer-BioTech coronavirus vaccine https://t.co/8OgQ7XK0SV via @SBSNews,Neutral
"This is an outstanding initiative and one that is urgently needed in Ontario's #LTC sector in anticipation of the arrival of the #COVID19 vaccine:

cc @DrFullertonMPP @AdvantAgeOnt @OLTCAnews @allan_k_grillMD @NoahIvers @DrSamirSinha @BogochIsaac @LisaLevin1 @DLDunc416 @OnLTCC https://t.co/lSZXpirRhV",Neutral
@realDonaldTrump where is the vaccine? Have we turned the corner yet? It seems the only thing magically disappearing one day is you. https://t.co/HdM3ii2LfV,Neutral
"The latest edition of the weekly newsletter with my initial thoughts on the elections, the effectiveness of the first COVID-19 vaccines, the story about 17 million minks being gassed in Denmark, and more.  https://t.co/5Sz7q5ZfHX. Sign up if you'd like.",Neutral
"Iloilo City eyes P100-million fund to purchase COVID-19 vaccines
https://t.co/LvffbXKYLC",Neutral
Inside the Operation Warp Speed effort to get Americans a COVID-19 vaccine – 60 Minutes | #schoolshooting https://t.co/Fd0Q8nsNMV,Neutral
"During the meeting, Foreign Secretary 
@harshvshringla assured President Solih of India's continued support to the Maldives in the entirety of the post-Covid recovery phase and apprised him of #COVID19  vaccine-related developments.",Neutral
"Pfizer says early analysis shows its Covid-19 vaccine is 90% effective

https://t.co/88nwFzNg2P",Neutral
